feature,importance
recency_gap_ratio,0.312322331585211
recency,0.28324240801569855
recent_orders,0.055605658036893525
order_trend,0.04255677400185251
avg_gap,0.040697098648385464
revenue_trend,0.035123750851362226
orders_per_month,0.030203236716028613
frequency,0.027544729540668472
median_gap,0.020472412927427158
revenue_per_month,0.01886938832542891
min_gap,0.01835724267608111
max_gap,0.017892424246134755
monetary,0.016419527092239542
gap_std,0.01589099762353367
seasonality_cv,0.01394088702497116
gap_cv,0.010132157382041162
prior_orders,0.009538888185020994
order_value_cv,0.009321943108455733
customer_tenure,0.007953921925797384
log_tenure,0.007521861232385272
avg_order_value,0.006392360854382738
