customer_no,customer_name,recency,frequency,monetary,avg_order_value,customer_tenure,log_tenure,avg_gap,gap_std,gap_cv,min_gap,max_gap,median_gap,recency_gap_ratio,recent_orders,prior_orders,recent_revenue,prior_revenue,order_trend,revenue_trend,seasonality_cv,peak_quarter,orders_per_month,revenue_per_month,order_value_cv,is_churned,is_churned_relative,churn_label,churn_probability,risk_category,revenue_at_risk
CUST0000,United Supply,84,3,18158.59,6052.863333333334,860,6.7580945044277305,388.0,140.0071426749364,0.3608431512240629,289.0,487.0,388.0,0.21649484536082475,1,0,7961.07,0.0,1.0,1.0,0.47140452079103173,3,0.10465116279069767,633.4391860465116,0.882481622679256,0,0,0,0.24832800601587895,Low,4509.286446759879
CUST0001,Alpine Trading LLC,4,30,170421.56,5680.718666666667,1050,6.957497370876951,36.06896551724138,25.744529286381216,0.7137584601386762,3.0,100.0,30.0,0.11089866156787763,4,6,30403.73,33224.119999999995,-0.3333333333333333,-0.08488983304900163,0.0769800358919501,2,0.8571428571428571,4869.187428571428,1.2708780433672864,0,0,0,0.0035942594363197705,Low,612.539300182336
CUST0002,Premier Shop,18,17,54064.64,3180.2729411764703,899,6.802394763324311,55.0625,52.919396255059446,0.9610787061077766,3.0,194.0,37.0,0.32690124858115777,6,2,14657.9,19037.12,2.0,-0.2300358457581819,0.6479494761513062,3,0.5672969966629589,1804.1592880978867,1.3699764591414008,0,0,0,0.003344081745212275,Low,180.79657568547339
CUST0003,First Store & Inc,11,77,311850.47000000003,4050.0061038961044,994,6.902742737158593,12.93421052631579,14.353940714489791,1.1097655079361386,0.0,71.0,7.5,0.8504577822990844,10,17,55992.219999999994,70982.9,-0.4117647058823529,-0.21118720142456848,0.24133956475785892,3,2.323943661971831,9411.98601609658,1.2329846882442512,0,0,0,0.030030600385188656,Low,9365.056844503264
CUST0004,Customer_0004,120,42,170602.81999999998,4061.971904761904,1017,6.925595197110468,21.878048780487806,19.42317574696684,0.8877928713775256,0.0,89.0,19.0,5.48494983277592,3,12,5525.740000000001,52435.89000000001,-0.75,-0.894619124420316,0.35208052401299733,1,1.2389380530973453,5032.531563421829,1.226787227776699,1,1,1,0.9999979489029301,Critical,170602.47007705577
CUST0005,Summit Systems,23,22,25938.53,1179.0240909090908,1012,6.920671504248683,47.095238095238095,40.68894783833168,0.8639715921182661,1.0,138.0,34.0,0.4883720930232558,3,6,8721.250000000002,3056.1299999999997,-0.5,1.8536907788608479,0.7041787902195303,1,0.6521739130434783,768.9287549407114,1.9220799673340956,0,0,0,0.0071113795602351275,Low,184.45873206454564
CUST0006,Green Beverage LLC,9,23,56437.079999999994,2453.7860869565216,1050,6.957497370876951,47.31818181818182,40.34303664897582,0.8525905920052527,0.0,138.0,32.5,0.19020172910662825,6,3,5958.02,6753.37,1.0,-0.1177708314515567,0.43478260869565216,1,0.6571428571428571,1612.4879999999998,1.1962311766220006,0,0,0,0.0027349781075763774,Low,154.3541782555366
CUST0007,Summit Depot,1,253,962571.3200000001,3804.6297233201585,1068,6.974478911025045,4.234126984126984,4.605205139214651,1.0876398266936196,0.0,32.0,3.0,0.23617619493908154,40,47,166094.99,199901.09000000003,-0.14893617021276595,-0.1691141353956601,0.21421806679001484,2,7.106741573033708,27038.5202247191,1.3952931944120996,0,0,0,0.007121448957550428,Low,6854.902523381939
CUST0008,Premier Goods & Water,78,20,98419.15999999999,4920.958,1038,6.946013991099227,50.526315789473685,36.146873879051704,0.7154068788562317,0.0,104.0,37.0,1.54375,3,3,95.39,44662.32,0.0,-0.9978641951425721,0.282842712474619,2,0.5780346820809248,2844.4843930635834,2.038957866928965,0,0,0,0.33896987418969404,Medium,33361.13028305536
CUST0009,Customer_0009,2,70,192207.93,2745.8275714285714,1066,6.9726062513017535,15.420289855072463,12.866287225675169,0.83437388963495,0.0,58.0,11.0,0.12969924812030076,9,16,35270.32,29804.620000000003,-0.4375,0.18338432095426804,0.2969229955832361,1,1.9699812382739212,5409.228799249531,1.2929490906906025,0,0,0,0.0025351345541738835,Low,487.272964929235
