feature,importance
day_of_week,0.39514121346717557
is_weekend,0.17228130875900094
dow_sin,0.0731262358952355
lag_3,0.03103543236607035
rolling_median_21,0.01587161829862706
lag_2,0.014513081463217553
lag_1,0.013073259196035825
lag_5,0.011121695686601292
days_since_start,0.010635900150265776
day,0.010134371183538354
rolling_mean_21,0.008996984141018313
rolling_min_7,0.008991996034217336
rolling_median_7,0.008931198130373219
rolling_cv_7,0.00888950745985921
day_of_year,0.008635514698157194
rolling_mean_14,0.008340968118654448
rolling_cv_14,0.007971795937558805
rolling_std_7,0.007803340494278387
rolling_median_14,0.007763139325729964
rolling_mean_7,0.00764949872964969
rolling_min_14,0.007531408427412101
rolling_std_28,0.006787688042914457
day_of_year_cos,0.00674786686530615
same_day_3_weeks_ago,0.006685450678108693
wow_pct_change,0.006597265314705472
lag_7,0.006302247089250045
lag_21,0.006269907966536853
same_day_4_weeks_ago,0.005995509421911582
same_day_2_weeks_ago,0.005989604382046932
rolling_std_21,0.005979152151123646
same_day_last_week,0.005934604335565307
lag_28,0.005903366740634243
rolling_max_28,0.0058530174394961715
expanding_mean,0.005751975313623273
expanding_std,0.005699659908888699
day_of_year_sin,0.005670419340047956
rolling_range_7,0.005600074941844468
wow_change,0.005534161333179654
rolling_median_28,0.0053996457867389915
lag_14,0.005300714773128539
dow_cos,0.005271639211648135
rolling_range_14,0.005250764018482711
rolling_std_14,0.005154533673462503
rolling_mean_28,0.005014293591638166
rolling_min_21,0.004378280167420814
rolling_min_28,0.004018200697820547
rolling_max_14,0.0038675247724441384
rolling_max_7,0.003856759274922156
rolling_max_21,0.0037713795872582148
week_of_year,0.0027206144819165307
month_cos,0.0011336510465507395
month_sin,0.0011138538792976264
month,0.0005508936744471735
is_monday,0.0005036961625264546
year,0.0003777348469761995
quarter,0.00022321489765450957
is_friday,0.00021886586830922387
is_month_end,0.00010815316677888238
is_quarter_end,2.0141140759829268e-05
is_month_start,4.006051957490522e-06
is_quarter_start,0.0
