date,Ridge,Lasso,ElasticNet,RandomForest,GradientBoosting,MLP,SVR,Stacking,Voting,ensemble_avg
2025-12-05,148552.55125186424,147964.15066212215,109515.80847774734,148240.2828894291,113093.7050130054,151092.6708921957,117182.8855689258,147691.22499000805,140244.8025116236,135953.12025076905
2025-12-06,25851.191978500094,27373.731475085733,103653.85337590899,18082.47370799021,11066.926802836282,35893.49692247591,65224.73399846205,21894.815784207767,22723.522352950626,36862.74959982418
2025-12-07,45783.796937796054,47841.06460664449,104335.88086443701,53649.203426613836,39586.28881951706,28613.172553040935,70492.66366677026,56236.19890776345,41908.11543424197,54271.82057964723
2025-12-08,152015.7901880877,155290.31582563944,109884.11975884208,156691.66539790775,147967.8629381095,136824.38867589773,119581.23198506117,154377.4735326004,148374.92680000066,142334.19723357182
2025-12-09,118847.31471921256,123630.4777293783,108829.77089659803,115090.20935854789,108614.60113828711,123317.0857408273,112887.78708612472,114523.7618373195,116467.30273921872,115800.92347172377
2025-12-10,129211.0441971527,131849.97179369518,109273.540542824,124081.39074579994,112731.6385111072,141535.84983503848,118288.34388281718,123367.41335241831,126889.9808222746,124136.57485368087
2025-12-11,150197.4820643261,148889.14956327915,111500.54758771534,159165.50664463927,161523.50030420476,153671.5174696446,129771.38429926249,156159.02900189522,156139.50162070367,147446.40206174116
2025-12-12,153243.06089254055,147465.2068840417,109502.4587561814,146559.557155812,133080.25947697132,141617.00882874173,114753.89977628844,144949.22526408994,143624.9715885164,137199.51651368706
2025-12-13,31407.339786162585,29489.40322582127,103681.58527370865,20591.677482084906,14627.881706612341,43079.48079610601,61734.85296124743,24236.316307388253,27426.59494274146,39586.12583131921
2025-12-14,57582.890113368616,52775.35726449739,104925.90632869717,66051.03748439993,54659.93253622697,51477.47418959664,69554.5029994635,67941.69209513054,57442.833580898034,64712.402954697645
2025-12-15,167544.18925954116,164617.41408733983,110360.51680261137,164019.25217825305,176183.22120780402,159927.56624918903,117983.73311406991,160280.68676988332,166918.55722369684,154203.9040991543
2025-12-16,129559.38636569548,127614.50023321237,108912.06907644446,121811.73725593009,116745.82951928934,125420.94383964158,110511.8519310321,120869.90042135806,123384.47424513912,120536.74365419365
2025-12-17,142944.86554820414,138013.88887949058,108940.00562946351,129573.23484073758,112574.78410492354,141539.21093761915,112084.57669329803,128909.29340277993,131658.0238578711,127359.7648771542
2025-12-18,160596.69124885416,155450.3964821968,111502.20031402509,160462.588849332,158486.51476875192,175363.47551012586,124767.45951278749,157625.30335717782,163727.31759426597,151997.99418194636
2025-12-19,160647.41933119774,156479.04782988006,110818.60310851561,166026.52404583702,159260.23932585868,177720.61239546537,119777.04823910483,163191.00585972174,165913.6987745897,153314.91099001898
2025-12-20,38364.87415287255,35872.24410186788,103778.34812906016,21090.121022985164,4348.306041314772,64701.9907328761,68246.76216039853,25277.812926546503,32126.322987512147,43756.30913949265
2025-12-21,50638.21067052784,49953.85332720324,105160.08521793973,53846.845301708236,43664.72476688099,67743.38543051298,76972.66349744782,56221.39376117675,53973.29154240751,62019.38372397834
2025-12-22,159545.09491209988,158552.9602890189,111070.32298197212,159592.12262239715,134696.8240890559,165109.32888830296,117265.15053149509,157996.1993766427,154735.84262796398,146507.09403543873
2025-12-23,123573.39659201591,123795.31745221213,108849.70929093043,128009.3848076914,144210.8777931643,133861.44580859362,109016.76026502223,125673.93327963553,132413.7762503663,125489.4001710702
2025-12-24,138566.8900766796,135929.53784548637,109282.91520858006,133442.75948947857,152961.3361905125,148341.20810364492,112175.89727269113,130689.62805827566,143328.0484650789,133857.58007893641
2025-12-25,153055.54706443023,150758.54184661168,111181.5215226648,161905.2612907108,160760.45671676422,174419.85426447797,119895.21334758117,158959.66912225407,162535.2798340958,150385.70500106565
2025-12-26,148171.08099238967,148963.52431130008,110760.83974021337,164824.91275299818,176209.36258196304,176176.1675265192,117382.72734200524,161091.10920139425,166345.38096346753,152213.90060136115
2025-12-27,33043.59780425411,31067.060935386937,103953.0226137581,23533.3787200065,22574.270220933136,73057.41010682912,73958.08898859644,26783.550286088466,38052.164213005715,47335.83820987317
2025-12-28,52857.406976440616,50059.48342826479,105013.65658759777,53064.20906020356,45275.68238443806,84906.8513674131,81048.83814332426,55348.28999021471,59026.03744712383,65177.82837611341
2025-12-29,176992.1809302317,158810.02738021285,110170.83464355824,160083.71790031277,174975.335367202,173751.7313830711,112625.68684317634,156378.55740003265,171450.7413952044,155026.534804778
2025-12-30,140761.7665108546,123773.50382970882,108875.6473444473,151632.27356385012,172782.70632118272,149098.2144743633,107544.73363856542,147977.79879094812,153568.74021756268,139557.26496572036
2025-12-31,169070.05325970115,140259.8373939611,109203.2598638357,157305.32744960324,177075.2612178772,167913.35214935744,101493.85723937818,153468.85554295633,167840.99851913477,149292.31140397832
2026-01-01,123271.24745214288,123152.36978300315,110288.30914799534,141505.26836492177,144141.32888484845,155940.49148037474,102405.22575926481,139276.20477516315,141214.58404557197,131243.8921881429
2026-01-02,133369.85855915313,136524.92138563236,109565.95293247668,140313.3528640886,137107.90675909625,149053.6264549413,110265.44338683743,138444.18353057897,139961.18615931983,132734.04800356936
2026-01-03,16708.72548798239,19211.194055356827,103774.05266776754,26118.166728342363,17936.66825374471,57941.343495942194,84648.26537167538,29631.30040233651,29676.225991502914,42849.54916162787
