date,predicted_sales
2025-12-05,154263.609375
2025-12-06,12520.623046875
2025-12-07,40891.40234375
2025-12-08,168250.71875
2025-12-09,99172.5546875
2025-12-10,123782.4609375
2025-12-11,162598.359375
2025-12-12,114972.3125
2025-12-13,2987.726806640625
2025-12-14,48967.83984375
2025-12-15,187805.078125
2025-12-16,92407.2265625
2025-12-17,115272.4375
2025-12-18,160297.9375
2025-12-19,134213.5
2025-12-20,9845.7587890625
2025-12-21,50143.03125
2025-12-22,167504.53125
2025-12-23,82783.7109375
2025-12-24,123846.1484375
2025-12-25,155702.6875
2025-12-26,147258.375
2025-12-27,11613.392578125
2025-12-28,48618.3125
2025-12-29,200083.59375
2025-12-30,128097.8359375
2025-12-31,158278.78125
2026-01-01,132401.8125
2026-01-02,116001.546875
2026-01-03,10903.5546875
